Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15
"Solicitado Por: Ing, Pedro Duarte",,,,,,,,,,,,,,
Fecha de Solicitud: 11 de Octubre de 2020,,,,,,,,,,,,,,
Tipo de Confidencialidad: Global,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Número de Pedido - Tip Compra,SKU,Categoría de Descuento,Ingresos,Unidades,Costo del Producto,Costo de Envio,Costo Empaque,Fecha de Envio,Fecha de Llegada,País,Ciudad,Codigo País,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total Resumen:,,,133.41712012373816,,,,,,,,,,,
,,,,,,,,,,,,,,
****,****,****,****,****,****,****,****,****,****,****,****,****,,
****,****,****,****,****,Disproductos L.D.,****,****,****,****,****,****,****,,
****,****,****,****,****,****,****,****,****,****,****,****,****,,
#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx
98094261Normal,CC01-2,Non,105.06,2,8.55,4.55,2,36509,36529,PARaguay,Asunción,PA,,
98094260Normal,L01-5,Non,61.5,2,8.25,3.25,2,36510,36529,PERú,Lima,PE,,
98094258Normal,CB01-2,Non,222.02999999999997,1,7.99,4.99,3,36511,36528,PARaguay,Asunción,PA,,
98094259Devolución,CB01-2,Non,666.08999999999992,3,5.61,5.61,2,36511,36529,PARaguay,Asunción,PA,,
98094257Normal,CC02-1,Non,80.16,3,9.99,3.99,3,36512,36528,URUguay,Montevideo,UR,,
98094256Normal,L01-5,Non,30.75,1,5.14,6.14,3,36512,36528,URUguay,Montevideo,UR,,
98094255Normal,CB01-3,Non,666.08999999999992,3,7.14,4.14,2,36513,36533,ARGentina,Rosario,AR,,
98094253Normal,L01-4,Non,61.5,2,8.58,3.58,2,36514,36533,ECUador,Quito,EC,,
98094254Normal,L02-1,Non,120.60000000000001,3,9.55,5.55,2,36514,36529,VENezuela,Caracas,VE,,
98094250Normal,CC01-4,Non,105.06,2,7.68,3.68,2,36515,36531,URUguay,Montevideo,UR,,
